FoilID,Total_Grade,printingDay,toKobeday,QCday,toCERNday,R_grade,R_mean[Mohm/sq],R_rms,GoodRatio[%],Max,Min,ratio_mu[CH/JP],ratio_rms[CH/JP],width_grade,width_mean[um],width_rms,pitch_grade,pitch_mean[um],pitch_rms,eta[mm]
SE6_00033,nan,nan,nan,nan,nan,A,1.22,0.2,100,1.93,0.65,nan,nan,A,319.8,18,A,425.6,15.2,472.3
SE6_00034,nan,nan,nan,nan,nan,A,1.13,0.18,100,2.05,0.7,nan,nan,A,319.6,18.1,A,425.7,15.2,472.4
SE6_00035,nan,nan,nan,nan,nan,A,1.14,0.16,100,1.68,0.66,nan,nan,A,321.6,19.2,A,425.6,15.7,472.4
SE6_00036,nan,nan,nan,nan,nan,A,1.16,0.16,100,1.94,0.68,nan,nan,A,320.6,18.7,A,425.6,15.5,472.4
SE6_00037,nan,nan,nan,nan,nan,A,1.15,0.17,100,1.91,0.65,nan,nan,A,318.4,18.5,A,425.6,15.3,472.4
SE6_00038,nan,nan,nan,nan,nan,A,1.32,0.16,100,2.38,0.8,nan,nan,A,320.5,19.1,A,425.6,15.7,472.4
SE6_00039,nan,nan,nan,nan,nan,A,1.26,0.22,100,2.52,0.59,nan,nan,A,320.5,19.1,A,425.6,15.8,472.4
SE6_00040,nan,nan,nan,nan,nan,A,1.14,0.18,100,1.7,0.7,nan,nan,A,320.6,18.9,A,425.5,15.7,-1
SE6_00041,nan,nan,nan,nan,nan,A,1.14,0.15,100,1.47,0.69,nan,nan,A,318.3,18.4,A,425.6,15.4,472.4
SE6_00042,nan,nan,nan,nan,nan,A,1.16,0.16,100,1.92,0.73,nan,nan,A,320.4,18.5,A,425.6,15.6,472.4
SE6_00043,nan,nan,nan,nan,nan,A,1.17,0.18,100,1.71,0.73,nan,nan,A,319.7,18.3,A,425.6,15.5,472.4
SE6_00044,nan,nan,nan,nan,nan,A,1.11,0.18,100,1.73,0.63,nan,nan,A,317.4,18,A,425.7,15.3,472.4
SE6_00045,nan,nan,nan,nan,nan,A,1.11,0.19,100,2.17,0.63,nan,nan,A,318.5,19.1,A,425.1,15.7,471.5
SE6_00046,nan,nan,nan,nan,nan,A,1.11,0.14,100,1.57,0.64,nan,nan,A,318.3,18.1,A,425.7,15.2,472.4
SE6_00047,nan,nan,nan,nan,nan,A,1.06,0.18,100,1.7,0.4,nan,nan,A,319.2,18.4,A,425.6,15.4,472.3
SE6_00048,nan,nan,nan,nan,nan,A,1.06,0.21,100,1.71,0.35,nan,nan,A,319.4,18.5,A,425.6,15.4,472.3
SE6_00049,nan,nan,nan,nan,nan,A,1.04,0.16,100,1.62,0.32,nan,nan,A,318.4,18.4,A,425.6,15.5,472.3
SE6_00050,nan,nan,nan,nan,nan,A,1.07,0.2,100,1.84,0.33,nan,nan,A,320,18.7,A,425.6,15.6,472.4
SE6_00051,nan,nan,nan,nan,nan,A,1.15,0.18,100,1.81,0.39,nan,nan,A,320.1,18.5,A,425.7,15.7,472.4
SE6_00052,nan,nan,nan,nan,nan,A,1.22,0.2,100,1.74,0.38,nan,nan,A,313.6,18.1,A,425.7,15.2,472.4
SE6_00053,nan,nan,nan,nan,nan,A,1.24,0.2,100,1.88,0.44,nan,nan,A,318.4,18.4,A,425.7,15.4,472.4
SE6_00054,nan,nan,nan,nan,nan,A,1.15,0.16,100,2.08,0.58,nan,nan,A,318.9,18.3,A,425.7,15.5,472.4
SE6_00055,nan,nan,nan,nan,nan,B,1.47,0.29,98.9,3.97,0.49,nan,nan,A,306.1,16.3,A,425.8,14,472.4
SE6_00056,nan,nan,nan,nan,nan,A,1.55,0.25,99.5,3.02,1.09,nan,nan,A,290.1,15.4,A,425.7,13.1,472.3
SE6_00057,nan,nan,nan,nan,nan,B,1.49,0.28,98.9,2.77,0.88,nan,nan,A,289.6,15.9,A,425.7,13.3,472.3
SE6_00058,nan,nan,nan,nan,nan,A,1.4,0.24,100,2.49,0.87,nan,nan,A,292.9,16.3,A,425.7,13.5,472.2
SE6_00059,nan,nan,nan,nan,nan,A,1.4,0.23,100,2.25,0.77,nan,nan,A,297.2,16.6,A,425.7,13.8,472.2
SE6_00060,nan,nan,nan,nan,nan,A,1.38,0.24,100,2.26,0.81,nan,nan,A,298.7,17,A,425.7,13.8,472.3
SE6_00061,nan,nan,nan,nan,nan,A,1.22,0.2,100,1.99,0.79,nan,nan,A,302.6,17.3,A,425.6,14.1,472.3
SE6_00062,nan,nan,nan,nan,nan,B,1.28,0.2,98.9,3.35,0.78,nan,nan,A,305.7,17.3,A,425.8,14.3,472.4
